End of Period,Cash on Hand,Due from Central Bank,Due from Domestic Banks,Cash Items in Process of Collection,Foreign Currency on Hand and Balances Due from Banks,Investments_Govt.of Sri Lanka_Treasury Bills,Investments_Govt.of Sri Lanka_Treasury Bonds (b),Investments_Govt.of Sri Lanka_Other Govt. of Sri Lanka Securities,Investments_Other Investments (c),Loans and Advances_Bills Purchased and Discounted_Local,Loans and Advances_Bills Purchased and Discounted_Imports,Loans and Advances_Bills Purchased and Discounted_Exports,Loans and Advances_Overdrafts,Loans and Advances_Loans,Loans and Advances_Total Loans and Advance (b),Fixed and Other Assets,Total Assets or Liabilities,Percentage of Liquid Assets to Demand Deposits,Percentage of Loans & Advances to Total Deposits
2002-09-01,12858.264603,36501.741781,18791.861893,15036.380325,100343.177563,23250.753907,35053.138238,13854.773172,21512.384007,17.547384,21827.693038,8545.490844,108806.261466,242255.774927,381452.767659,120076.309905,778731.553053,333.71910182491786,69.35530305696327
2002-10-01,11988.043139,37758.263754,13854.656969,11720.025461,96114.911244,25780.475678,39327.646846,13586.721142,21207.82244,5.311082,21245.147582,8073.341472,106880.252362,247018.826781,383222.879279,120784.484623,775345.930575,336.1493931364862,69.08478803457103
2002-11-01,12000.680794,39418.735256,15902.722153,11667.247217,99875.182567,23274.822342,40367.560635,13611.165642,20494.965016,6.611668,16369.980654,7897.497673,109475.915114,249770.013604,383520.018713,112123.411449,772256.511784,327.7087279553822,68.38427611392724
2002-12-01,13015.9901,40217.912423,16166.715604,13684.865692,103412.669863,25920.504059,32924.625085,13637.576142,20435.263604,5.593553,17526.843035,7342.152075,111756.026679,256295.60238,392926.217722,115683.307694,788025.647988,299.2084003896019,68.5512428878914
2003-01-01,12210.616539,36994.280253,17414.729645,11957.490696,106773.423758,31174.988973,34688.554447,11228.225142,20020.170468,17.014059,15363.447765,7036.433192,109672.623544,255768.919581,387858.438141,121187.47232,791508.3903820001,322.95501485703045,67.35849181735408
2003-02-01,11442.546391,40230.491087,13149.788405,12040.352691,112197.483183,32248.875233,33046.667026,9759.876142,19564.425369,3.683011,14577.728815,6884.252145,108169.417106,259250.471962,388885.553039,125254.158555,797820.2171209999,327.5780177840455,66.89205846906003
2003-03-01,14596.643631,45314.960721,14614.955341,15656.54273,109802.883304,29281.512869,34074.954216,9548.925642,19177.971543,3.981169,14585.950296,6975.420028,112401.717736,263124.335759,397091.404988,121202.914312,810363.669297,324.74278637235693,67.54130581967769
2003-04-01,14083.670269,32967.115318,23982.068312,12153.448949,106697.272512,30876.890476,34544.362981,9581.125142,21651.934137,12.121624,13064.656378,7311.516108,112020.194122,266797.175287,399205.66351900005,128611.073881,814354.625496,303.35429316291487,67.22768518687168
2003-05-01,13641.29535,35479.478339,21054.233922,11468.711855,107334.006127,35546.43999,35994.713349,10056.676142,22392.89754,4.990727,12600.960059,7320.917014,112312.479742,269252.879631,401492.227173,130143.076941,824603.7567279999,305.42150264212563,67.160511449749
2003-06-01,13965.737733,39968.306702,21327.193501,11979.920469,109851.589912,33293.754963,35032.163577,10005.125642,22725.671012,4.281687,12742.685644,8564.869682,111597.491914,271560.150431,404469.479358,130013.982927,832632.925796,310.03073033755925,67.21666327335781
2003-07-01,12737.89713164,42700.020324050005,17528.11020011,11807.573866,111379.88846997,35074.2306534,50581.536766,10051.050642,22380.689721,67.658992,5208.33468257,8732.92165692,109115.29083960001,276840.03447725,399964.24064834,126435.26432273,840640.50274524,307.26447127326355,65.41675167170462
2003-08-01,12044.511969,42848.843477,15410.652818,10198.837382,108950.609875,41986.593387,42721.767222,10026.700142,24187.778204,118.403043,5221.594579,8485.863665,111158.565476,280272.257684,405256.68444700004,126762.078698,840395.0576210001,301.8417427116049,66.17581987714975
2003-09-01,13243.641373,46583.654577,21619.241856,15296.165966,103270.526674,37041.368009,46366.54544,9843.326142,24224.693996,172.546543,5361.36829,8665.915752,113383.767459,289381.553159,416965.151203,135066.761088,869521.076324,267.6240480824444,66.40854387186698
2003-10-01,12623.848603,48551.091701,18366.368477,13449.899747,95272.957711,32415.50389,49767.972627,9833.925142,24618.699799,42.026989,5343.546272,7856.836744,115170.025569,298551.052971,426963.48854500003,129522.70083,861386.4570719999,278.54474855701415,67.97432025592506
2003-11-01,12554.587583,47023.001312,20535.898391,15758.749989,97431.145926,37265.801436,51507.050263,9333.025141,23442.470921,68.793018,5483.992643,8597.821207,115401.33197,306633.569074,436185.507912,132356.86772,883394.106594,270.29021194020936,67.96759250216648
2003-12-01,13183.697084,37899.310289,15309.071525,11278.512525,100181.34027,41561.979904,62027.251135,5468.001437,24491.048745,68.51141,5025.447819,9348.478756,119728.179105,307512.402986,441683.020076,131966.977988,885050.2109780001,286.2019610292685,67.82656215726111
2004-01-01,13025.182186,45065.105643,12384.1251,14633.391277,110125.276146,36339.842944,63470.654173,5487.491707,23369.291583,53.933948,5376.983409,9006.496631,115691.941495,307777.086927,437906.44241,135095.620956,896902.4241250001,305.1536700489965,66.5602054558501
2004-02-01,12099.672202,42078.113989,19635.085719,16247.246423,118169.596196,31022.669976,56637.945734,5547.103363,23343.604707,68.064099,6377.646478,8985.464985,116648.467559,317796.821837,449876.464958,142952.847394,917610.350661,287.7252536093528,67.4342778858421
2004-03-01,21983.365208,39839.84597,14821.470639,16103.844144,118562.159294,28167.168497,58054.038248,5523.393348,23991.008886,45.12839,4638.052092,9032.838423,114373.004989,331476.301822,459565.325716,136814.336329,923425.956279,293.2732137941023,68.25560897246558
2004-04-01,15638.242505,42906.328209,14722.735983,10815.417016,122527.719669,40742.521629,45303.576944,5539.460309,24066.711869,33.255865,4953.149374,8261.479082,118813.381578,335898.321279,467959.587178,124608.25431,914830.555621,298.6204679216443,69.07801657949554
2004-05-01,15927.870285,48005.370835,18146.692301,14257.166821,127532.163261,32648.452671,55955.939997,5573.514357,23964.370389,35.497128,5343.732843,8473.42451,118360.262408,338979.43404,471192.350929,131012.603543,944216.4953890002,298.8665690499309,68.58431417926832
